iter	Passed	Remaining
270	601	1619
271	604	1618
272	606	1614
273	607	1610
274	609	1606
275	610	1602
276	612	1598
277	614	1594
278	615	1591
279	617	1587
280	619	1584
281	620	1580
282	622	1576
283	623	1572
284	625	1568
285	626	1564
286	628	1560
287	629	1556
288	631	1553
289	632	1549
290	634	1545
291	635	1540
292	637	1538
293	639	1535
294	640	1531
295	642	1527
296	644	1525
297	646	1522
298	647	1518
299	649	1514
300	650	1510
301	652	1508
302	654	1506
303	656	1502
304	657	1499
305	660	1497
306	661	1493
307	663	1490
308	664	1486
309	666	1483
310	667	1479
311	669	1476
312	671	1473
313	672	1470
314	675	1467
315	676	1465
316	678	1461
317	679	1458
318	681	1454
319	682	1451
320	684	1447
321	686	1445
322	687	1441
323	689	1438
324	691	1435
325	693	1432
326	694	1429
327	696	1426
328	697	1423
329	699	1420
330	700	1416
331	702	1413
332	704	1410
333	705	1407
334	707	1404
335	708	1401
336	710	1398
337	712	1394
338	713	1391
339	715	1389
340	717	1386
341	718	1383
342	720	1380
343	721	1376
344	723	1373
345	724	1370
346	726	1367
347	727	1363
348	729	1361
349	731	1358
350	733	1356
351	736	1355
352	737	1352
353	739	1348
354	740	1345
355	742	1342
356	744	1340
357	746	1339
358	748	1336
359	750	1333
360	752	1331
361	753	1328
362	755	1325
363	756	1322
364	758	1319
365	760	1318
366	762	1315
367	764	1312
368	767	1312
369	769	1309
370	771	1307
371	772	1304
372	777	1307
373	779	1304
374	781	1302
375	783	1299
376	785	1297
377	786	1294
378	788	1291
379	790	1289
380	792	1286
381	793	1284
382	795	1281
383	797	1278
384	798	1275
385	802	1276
386	804	1273
387	805	1271
388	807	1268
389	809	1266
390	811	1263
391	813	1261
392	815	1259
393	816	1256
394	818	1253
395	820	1250
396	821	1248
397	823	1245
398	825	1242
399	826	1240
400	828	1237
401	831	1236
402	832	1233
403	834	1231
404	836	1228
405	837	1225
406	839	1223
407	841	1220
408	844	1220
409	845	1217
410	847	1214
411	849	1212
412	851	1209
413	855	1210
414	856	1207
415	858	1205
416	860	1202
417	861	1199
418	863	1197
419	866	1196
420	867	1193
421	869	1190
422	870	1187
423	872	1184
424	873	1182
425	875	1179
426	876	1176
427	878	1174
428	880	1171
429	881	1168
430	883	1166
431	885	1163
432	886	1161
433	888	1158
434	889	1155
435	891	1153
436	893	1150
437	894	1148
438	896	1145
439	897	1142
440	899	1140
441	901	1137
442	902	1135
443	904	1132
444	906	1130
445	908	1127
446	909	1125
447	911	1122
448	912	1120
449	914	1117
450	916	1115
451	920	1116
452	923	1115
453	925	1113
454	928	1111
455	929	1109
456	931	1106
457	932	1104
458	934	1101
459	936	1099
460	937	1096
461	939	1093
462	941	1091
463	943	1089
464	948	1091
465	950	1089
466	952	1087
467	954	1084
468	956	1082
469	959	1081
470	960	1079
471	962	1076
472	964	1074
473	966	1072
474	968	1070
475	970	1068
476	972	1065
477	973	1063
478	975	1060
479	977	1058
480	979	1056
481	981	1054
482	982	1051
483	984	1049
484	985	1046
485	987	1044
486	989	1042
487	990	1039
488	992	1037
489	995	1035
490	996	1033
491	998	1030
492	999	1028
493	1001	1025
494	1002	1023
495	1004	1021
496	1006	1018
497	1008	1016
498	1010	1014
499	1012	1012
500	1013	1009
501	1015	1007
502	1017	1005
503	1019	1003
504	1020	1000
505	1022	998
506	1024	996
507	1026	994
508	1028	991
509	1029	989
510	1031	987
511	1033	984
512	1035	983
513	1037	980
514	1038	978
515	1040	975
516	1042	973
517	1043	971
518	1046	969
519	1047	967
520	1051	966
521	1053	964
522	1055	962
523	1056	959
524	1058	957
525	1059	954
526	1061	952
527	1062	950
528	1064	947
529	1065	945
530	1067	942
531	1069	940
532	1070	938
533	1072	935
534	1073	933
535	1075	930
536	1076	928
537	1078	926
538	1080	923
539	1082	921
540	1083	919
541	1085	917
542	1087	914
543	1088	912
544	1090	910
545	1092	908
546	1093	905
547	1095	903
548	1097	901
549	1099	899
550	1101	897
551	1102	894
552	1104	892
553	1105	890
554	1107	887
555	1108	885
556	1110	883
557	1112	881
558	1114	878
559	1115	876
560	1117	874
561	1119	872
562	1120	870
563	1122	868
564	1125	866
565	1127	864
566	1128	861
567	1130	859
568	1131	857
569	1137	858
570	1139	855
571	1141	854
572	1143	852
573	1145	850
574	1150	850
575	1152	848
576	1154	846
577	1156	844
578	1162	844
579	1164	843
580	1167	842
581	1172	842
582	1176	841
583	1179	840
584	1182	838
585	1184	836
586	1186	834
587	1187	832
588	1189	829
589	1191	827
590	1194	826
591	1195	824
592	1197	821
593	1200	820
594	1202	818
595	1203	816
596	1205	813
597	1207	811
598	1209	809
599	1210	806
600	1211	804
601	1213	802
602	1215	800
603	1217	798
604	1219	796
605	1220	793
606	1222	791
607	1224	789
608	1226	787
609	1228	785
610	1231	783
611	1232	781
612	1234	779
613	1236	777
614	1237	774
615	1239	772
616	1241	770
617	1243	768
618	1246	767
619	1248	764
620	1249	762
621	1251	760
622	1253	758
623	1255	756
624	1256	754
625	1258	752
626	1260	749
627	1261	747
628	1263	745
629	1265	743
630	1266	740
631	1268	738
632	1277	740
633	1279	738
634	1283	737
635	1285	735
636	1286	733
637	1289	731
638	1291	729
639	1293	727
640	1294	725
641	1296	722
642	1297	720
643	1299	718
644	1300	715
645	1302	713
646	1304	711
647	1306	709
648	1307	707
649	1309	704
650	1310	702
651	1312	700
652	1313	698
653	1316	696
654	1318	694
655	1320	692
656	1321	690
657	1323	687
658	1325	685
659	1327	683
660	1328	681
661	1330	679
662	1332	677
663	1333	675
664	1335	672
665	1336	670
666	1338	668
667	1339	665
668	1341	663
669	1343	661
670	1345	659
671	1349	658
672	1352	657
673	1357	656
674	1359	654
675	1361	652
676	1363	650
677	1365	648
678	1366	646
679	1368	644
680	1370	641
681	1371	639
682	1373	637
683	1374	635
684	1376	633
685	1378	630
686	1379	628
687	1381	626
688	1383	624
689	1384	622
690	1386	619
691	1388	617
692	1389	615
693	1391	613
694	1393	611
695	1394	609
696	1396	606
697	1398	604
698	1399	602
699	1401	600
700	1402	598
701	1404	596
702	1406	594
703	1407	591
704	1409	589
705	1410	587
706	1412	585
707	1414	583
708	1415	581
709	1417	578
710	1418	576
711	1420	574
712	1423	573
713	1425	571
714	1427	568
715	1428	566
716	1430	564
717	1431	562
718	1433	560
719	1435	558
720	1437	556
721	1438	554
722	1440	551
723	1441	549
724	1443	547
725	1445	545
726	1446	543
727	1448	541
728	1449	538
729	1451	536
730	1453	534
731	1454	532
732	1456	530
733	1457	528
734	1459	526
735	1460	523
736	1462	521
737	1463	519
738	1465	517
739	1467	515
740	1468	513
741	1470	511
742	1471	509
743	1473	506
744	1474	504
745	1476	502
746	1478	500
747	1479	498
748	1481	496
749	1483	494
750	1485	492
751	1486	490
752	1487	488
753	1489	485
754	1490	483
755	1495	482
756	1497	480
757	1499	478
758	1501	476
759	1502	474
760	1504	472
761	1505	470
762	1508	468
763	1510	466
764	1513	464
765	1514	462
766	1516	460
767	1517	458
768	1518	456
769	1520	454
770	1523	452
771	1525	450
772	1526	448
773	1528	446
774	1529	444
775	1531	441
776	1532	439
777	1533	437
778	1537	436
779	1539	434
780	1541	432
781	1543	430
782	1545	428
783	1546	426
784	1548	424
785	1551	422
786	1553	420
787	1555	418
788	1557	416
789	1560	414
790	1561	412
791	1563	410
792	1565	408
793	1567	406
794	1568	404
795	1570	402
796	1571	400
797	1573	398
798	1575	396
799	1576	394
800	1578	392
801	1580	390
802	1582	388
803	1583	386
804	1585	384
805	1586	381
806	1588	379
807	1590	377
808	1592	375
809	1593	373
810	1596	372
811	1598	370
812	1600	368
813	1601	366
814	1603	364
815	1605	361
816	1606	359
817	1607	357
818	1609	355
819	1610	353
820	1612	351
821	1613	349
822	1615	347
823	1616	345
824	1618	343
825	1619	341
826	1621	339
827	1622	337
828	1625	335
829	1626	333
830	1628	331
831	1630	329
832	1631	327
833	1632	325
834	1634	322
835	1635	320
836	1637	318
837	1638	316
838	1640	314
839	1642	312
840	1644	310
841	1646	308
842	1647	306
843	1648	304
844	1650	302
845	1651	300
846	1654	298
847	1656	296
848	1657	294
849	1659	292
850	1660	290
851	1661	288
852	1663	286
853	1664	284
854	1665	282
855	1667	280
856	1669	278
857	1671	276
858	1673	274
859	1675	272
860	1676	270
861	1677	268
862	1678	266
863	1680	264
864	1681	262
865	1684	260
866	1686	258
867	1687	256
868	1689	254
869	1690	252
870	1691	250
871	1693	248
872	1694	246
873	1695	244
874	1700	242
875	1702	241
876	1704	239
877	1706	237
878	1707	235
879	1708	232
880	1709	230
881	1713	229
882	1715	227
883	1716	225
884	1718	223
885	1719	221
886	1721	219
887	1722	217
888	1724	215
889	1725	213
890	1727	211
891	1729	209
892	1731	207
893	1732	205
894	1733	203
895	1735	201
896	1736	199
897	1737	197
898	1739	195
899	1742	193
900	1744	191
901	1745	189
902	1747	187
903	1748	185
904	1750	183
905	1751	181
906	1753	179
907	1754	177
908	1757	175
909	1759	174
910	1760	172
911	1762	170
912	1763	168
913	1765	166
914	1766	164
915	1767	162
916	1769	160
917	1771	158
918	1772	156
919	1774	154
920	1775	152
921	1777	150
922	1778	148
923	1780	146
924	1781	144
925	1782	142
926	1784	140
927	1785	138
928	1787	136
929	1788	134
930	1790	132
931	1791	130
932	1793	128
933	1794	126
934	1795	124
935	1797	122
936	1798	120
937	1800	119
938	1802	117
939	1803	115
940	1805	113
941	1806	111
942	1808	109
943	1809	107
944	1811	105
945	1812	103
946	1814	101
947	1816	99
948	1817	97
949	1818	95
950	1820	93
951	1821	91
952	1823	89
953	1825	88
954	1826	86
955	1828	84
956	1830	82
957	1831	80
958	1833	78
959	1835	76
960	1836	74
961	1838	72
962	1839	70
963	1840	68
964	1842	66
965	1844	64
966	1845	62
967	1847	61
968	1848	59
969	1850	57
970	1851	55
971	1853	53
972	1854	51
973	1856	49
974	1858	47
975	1860	45
976	1862	43
977	1864	41
978	1865	40
979	1867	38
980	1868	36
981	1870	34
982	1872	32
983	1874	30
984	1875	28
985	1877	26
986	1879	24
987	1880	22
988	1882	20
989	1883	19
990	1884	17
991	1887	15
992	1889	13
993	1890	11
994	1892	9
995	1894	7
996	1895	5
997	1897	3
998	1898	1
999	1901	0
